date,gold_usd_per_oz,usd_mmk_rate,gold_mmk_per_tical
2016-08-01,1340.17,1180.34,830000
2016-09-01,1326.61,1209.98,843000
2016-11-01,1238.35,1285.38,836000
2016-12-01,1157.36,1314.43,799000
2017-02-01,1234.2,1349.17,874000
2017-03-01,1231.42,1360.49,880000
2017-06-01,1260.26,1361.12,901000
2017-08-01,1283.04,1356.45,914000
2017-09-01,1314.07,1354.7,935000
2017-11-01,1281.9,1364.64,918000
2017-12-01,1264.45,1361.68,904000
2018-02-01,1330.73,1327.25,927000
2018-03-01,1324.66,1337.31,930000
2018-05-01,1303.45,1334.61,913000
2018-06-01,1281.57,1347.62,907000
2018-08-01,1201.71,1446.21,912000
2018-10-01,1215.39,1560.3,996000
2018-11-01,1220.65,1593.84,1021000
2019-01-01,1291.75,1540.35,1045000
2019-02-01,1320.07,1512.42,1048000
2019-03-01,1300.9,1506.71,1029000
2019-04-01,1285.91,1512.71,1021000
2019-07-01,1412.89,1512.37,1122000
2019-08-01,1500.41,1509.7,1189000
2019-10-01,1494.81,1529.91,1201000
2019-11-01,1470.79,1522.68,1176000
2020-01-01,1560.67,1475.86,1209000
2020-04-01,1683.17,1389.9,1228000
2020-06-01,1732.22,1395.61,1269000
2020-07-01,1846.51,1367.81,1326000
2020-09-01,1921.92,1328.12,1340000
2020-10-01,1900.27,1307.27,1304000
2020-12-01,1858.42,1315.15,1283000
2021-01-01,1866.98,1332.71,1306000
2021-02-01,1808.17,1325.82,1259000
2021-03-01,1718.23,1411.24,1273000
2021-04-01,1760.04,1408.2,1301000
2021-06-01,1834.57,1644.85,1584000
2021-07-01,1807.84,1639.51,1556000
2021-09-01,1775.14,1649.64,1537000
2021-10-01,1776.85,1891.4,1764000
2021-11-01,1821.76,1777.24,1700000
2021-12-01,1790.43,1787.15,1680000
2022-02-01,1856.3,1774.81,1730000
2022-03-01,1947.83,1775.07,1815000
2022-04-01,1936.86,1776.64,1807000
2022-06-01,1836.57,1849.19,1783000
2022-07-01,1732.74,1852.69,1685000
2022-08-01,1764.56,1839.59,1704000
2022-09-01,1680.78,2095.52,1849000
2022-11-01,1725.07,2097.13,1899000
2022-12-01,1797.55,2096.99,1979000
2023-02-01,1854.54,2097.07,2042000
2023-03-01,1912.73,2097.8,2107000
2023-05-01,1992.13,2097.65,2194000
2023-06-01,1942.9,2095.5,2137000
2023-08-01,1918.7,2097.46,2113000
2023-09-01,1915.95,2098.13,2110000
2023-11-01,1984.11,2096.55,2184000
2023-12-01,2026.18,2101.15,2235000
2024-01-01,2034.04,2096.66,2239000
2024-02-01,2023.24,2097.19,2228000
2024-03-01,2158.01,2097.33,2376000
2024-04-01,2331.45,2097.52,2567000
2024-05-01,2351.13,2096.82,2588000
2024-07-01,2398.2,2095.91,2639000
2024-08-01,2470.15,2098.01,2721000
2024-10-01,2690.08,2099.21,2965000
2024-11-01,2651.13,2097.09,2919000
2025-01-02,2658.9,2098.57,2929000
2025-01-03,2645.0,2100.86,2917000
2025-01-06,2638.4,2098.38,2907000
2025-01-07,2656.7,2096.99,2925000
2025-01-08,2664.5,2097.64,2934000
2025-01-09,2683.8,2097.95,2956000
2025-01-10,2708.5,2097.28,2982000
2025-01-13,2673.5,2099.71,2947000
2025-01-14,2677.5,2096.92,2948000
2025-01-15,2712.5,2097.05,2986000
2025-01-16,2746.4,2097.37,3024000
2025-01-17,2744.3,2097.61,3022000
2025-01-21,2755.0,2096.24,3032000
2025-01-22,2767.6,2096.73,3047000
2025-01-23,2763.1,2095.4,3040000
2025-01-24,2777.3,2092.43,3051000
2025-01-27,2737.5,2095.52,3012000
2025-01-28,2766.8,2095.78,3044000
2025-01-29,2769.1,2098.63,3051000
2025-01-30,2823.0,2096.64,3107000
2025-01-31,2812.5,2098.54,3099000
2025-02-03,2833.9,2100.28,3125000
2025-02-04,2853.3,2097.54,3142000
2025-02-05,2871.6,2098.31,3163000
2025-02-06,2856.0,2098.8,3147000
2025-02-07,2867.3,2096.32,3156000
2025-02-10,2914.3,2098.24,3210000
2025-02-11,2912.5,2097.32,3207000
2025-02-12,2909.0,2097.3,3203000
2025-02-13,2925.9,2094.9,3218000
2025-02-14,2883.6,2093.28,3169000
2025-02-18,2931.6,2096.61,3227000
2025-02-19,2919.4,2098.06,3216000
2025-02-20,2940.0,2098.6,3239000
2025-02-21,2937.6,2097.34,3235000
2025-02-24,2947.9,2097.05,3245000
2025-02-25,2904.5,2096.8,3197000
2025-02-26,2916.8,2097.42,3212000
2025-02-27,2883.2,2098.03,3176000
2025-02-28,2836.8,2102.03,3131000
2025-03-03,2890.2,2099.16,3185000
2025-03-04,2909.6,2097.48,3204000
2025-03-05,2915.3,2097.44,3210000
2025-03-06,2916.6,2096.46,3210000
2025-03-07,2904.7,2094.31,3194000
2025-03-10,2891.0,2096.3,3182000
2025-03-11,2912.9,2096.4,3206000
2025-03-12,2939.1,2097.46,3236000
2025-03-13,2984.3,2098.24,3287000
2025-03-14,2994.5,2097.54,3298000
2025-03-17,3000.0,2096.31,3302000
2025-03-18,3035.1,2096.42,3340000
2025-03-19,3035.9,2097.46,3343000
2025-03-20,3040.0,2098.61,3349000
2025-03-21,3018.2,2099.56,3327000
2025-03-24,3013.1,2097.5,3318000
2025-03-25,3023.7,2096.57,3328000
2025-03-26,3020.9,2096.94,3326000
2025-03-27,3060.2,2099.86,3374000
2025-03-28,3086.5,2098.66,3401000
2025-03-31,3122.8,2098.27,3440000
2025-04-01,3118.9,2096.65,3433000
2025-04-02,3139.9,2098.51,3459000
2025-04-03,3097.0,2090.79,3399000
2025-04-04,3012.0,2095.73,3314000
2025-04-07,2951.3,2098.35,3251000
2025-04-08,2968.4,2097.75,3269000
2025-04-09,3056.5,2096.81,3365000
2025-04-10,3155.2,2095.26,3471000
2025-04-11,3222.2,2087.16,3531000
2025-04-14,3204.8,2092.92,3521000
2025-04-15,3218.7,2094.46,3539000
2025-04-16,3326.6,2098.66,3665000
2025-04-17,3308.7,2095.99,3641000
2025-04-21,3406.2,2095.65,3748000
2025-04-22,3400.8,2095.34,3741000
2025-04-23,3276.3,2096.42,3606000
2025-04-24,3332.0,2096.27,3667000
2025-04-25,3282.4,2096.16,3612000
2025-04-28,3332.5,2097.58,3670000
2025-04-29,3318.8,2095.82,3652000
2025-04-30,3305.0,2097.1,3639000
2025-05-01,3210.0,2097.29,3534000
2025-05-02,3231.9,2098.71,3561000
2025-05-05,3311.3,2097.29,3646000
2025-05-06,3411.4,2097.2,3756000
2025-05-07,3381.4,2097.31,3723000
2025-05-08,3296.6,2098.57,3632000
2025-05-09,3335.4,2097.21,3672000
2025-05-12,3220.0,2098.05,3547000
2025-05-13,3240.3,2097.62,3568000
2025-05-14,3181.4,2096.26,3501000
2025-05-15,3220.7,2096.5,3545000
2025-05-16,3182.0,2097.04,3503000
2025-05-19,3228.9,2097.02,3555000
2025-05-20,3280.3,2096.55,3611000
2025-05-21,3309.3,2097.06,3643000
2025-05-22,3292.3,2097.85,3626000
2025-05-23,3363.6,2097.1,3703000
2025-05-27,3299.1,2096.52,3631000
2025-05-28,3293.6,2096.48,3625000
2025-05-29,3317.1,2097.76,3653000
2025-05-30,3288.9,2097.5,3622000
2025-06-02,3370.6,2096.24,3709000
2025-06-03,3350.2,2097.22,3689000
2025-06-04,3373.5,2097.44,3715000
2025-06-05,3350.7,2096.8,3689000
2025-06-06,3322.7,2097.62,3659000
2025-06-09,3332.1,2097.28,3669000
2025-06-10,3320.9,2097.29,3657000
2025-06-11,3321.3,2097.25,3657000
2025-06-12,3380.9,2094.28,3717000
2025-06-13,3431.2,2095.16,3774000
2025-06-16,3396.4,2095.07,3736000
2025-06-17,3386.6,2096.4,3727000
2025-06-18,3389.8,2097.45,3733000
2025-06-20,3368.1,2096.96,3708000
2025-06-23,3377.7,2097.53,3720000
2025-06-24,3317.4,2096.32,3651000
2025-06-25,3327.1,2097.26,3663000
2025-06-26,3333.5,2093.81,3664000
2025-06-27,3273.7,2093.91,3599000
2025-06-30,3294.4,2095.56,3624000
2025-07-01,3336.7,2095.62,3671000
2025-07-02,3348.0,2097.48,3687000
2025-07-03,3331.6,2097.83,3669000
2025-07-04,3332.5,2096.44,3668000
2025-07-07,3332.2,2097.46,3669000
2025-07-08,3307.0,2097.55,3642000
2025-07-09,3311.6,2097.72,3647000
2025-07-10,3317.4,2097.35,3653000
2025-07-11,3356.0,2099.14,3698000
2025-07-14,3351.5,2098.09,3692000
2025-07-15,3329.8,2097.55,3667000
2025-07-16,3352.5,2097.8,3692000
2025-07-17,3340.1,2097.71,3678000
2025-07-18,3353.0,2096.72,3691000
2025-07-21,3401.9,2096.93,3745000
2025-07-22,3439.2,2097.05,3786000
2025-07-23,3394.1,2097.85,3738000
2025-07-24,3371.0,2096.91,3711000
2025-07-25,3334.0,2097.38,3671000
2025-07-28,3309.1,2097.97,3645000
2025-07-29,3323.4,2098.35,3661000
2025-07-30,3295.8,2097.68,3630000
2025-07-31,3293.2,2099.32,3630000
2025-08-01,3347.7,2101.64,3694000
2025-08-04,3374.4,2097.44,3716000
2025-08-05,3381.9,2097.5,3724000
2025-08-06,3380.0,2097.82,3723000
2025-08-07,3400.3,2094.11,3738000
2025-08-08,3439.1,2094.58,3782000
2025-08-11,3353.1,2096.16,3690000
2025-08-12,3348.9,2096.88,3687000
2025-08-13,3358.7,2097.25,3698000
2025-08-14,3335.2,2098.76,3675000
2025-08-15,3336.0,2098.82,3676000
2025-08-18,3331.7,2097.86,3669000
2025-08-19,3313.4,2097.38,3648000
2025-08-20,3343.4,2098.0,3683000
2025-08-21,3336.9,2097.37,3674000
2025-08-22,3374.4,2099.79,3720000
2025-08-25,3373.8,2097.55,3715000
2025-08-26,3388.6,2097.9,3732000
2025-08-27,3404.6,2098.07,3750000
2025-08-28,3431.8,2096.98,3778000
2025-08-29,3473.7,2096.46,3823000
2025-09-02,3549.4,2097.48,3909000
2025-09-03,3593.2,2097.02,3956000
2025-09-04,3565.8,2097.14,3926000
2025-09-05,3613.2,2096.06,3976000
2025-09-08,3638.1,2096.61,4005000
2025-09-09,3643.3,2096.86,4011000
2025-09-10,3643.6,2097.8,4013000
2025-09-11,3636.9,2097.9,4006000
2025-09-12,3649.4,2097.02,4018000
2025-09-15,3682.2,2096.62,4053000
2025-09-16,3688.9,2096.71,4061000
2025-09-17,3681.8,2097.31,4054000
2025-09-18,3643.7,2097.57,4013000
2025-09-19,3671.5,2100.24,4048000
2025-09-22,3740.7,2098.33,4121000
2025-09-23,3780.6,2097.99,4164000
2025-09-24,3732.1,2098.63,4112000
2025-09-25,3736.9,2098.09,4116000
2025-09-26,3775.3,2099.91,4162000
2025-09-29,3820.9,2098.1,4209000
2025-09-30,3840.8,2097.56,4230000
2025-10-01,3867.5,2097.69,4259000
2025-10-02,3839.7,2097.72,4229000
2025-10-03,3880.8,2097.92,4274000
2025-10-06,3948.5,2098.31,4350000
2025-10-07,3976.6,2098.05,4380000
2025-10-08,4043.3,2098.74,4455000
2025-10-09,3946.3,2098.89,4348000
2025-10-10,3975.9,2098.6,4380000
2025-10-13,4108.6,2097.51,4524000
2025-10-14,4138.7,2097.41,4557000
2025-10-15,4176.9,2097.29,4599000
2025-10-16,4280.2,2096.2,4710000
2025-10-17,4189.9,2095.93,4610000
2025-10-20,4336.4,2096.36,4773000
2025-10-21,4087.7,2097.88,4502000
2025-10-22,4044.4,2097.95,4455000
2025-10-23,4125.5,2097.39,4543000
2025-10-24,4118.4,2096.59,4533000
2025-10-27,4001.9,2096.55,4405000
2025-10-28,3966.2,2096.5,4365000
2025-10-29,3983.7,2096.75,4385000
2025-10-30,4001.3,2097.6,4406000
2025-10-31,3982.2,2098.96,4388000
2025-11-03,4000.3,2097.94,4406000
2025-11-04,3947.7,2097.72,4348000
2025-11-05,3980.3,2097.08,4382000
2025-11-06,3979.9,2096.3,4380000
2025-11-07,3999.4,2095.03,4399000
2025-11-10,4111.8,2097.08,4527000
2025-11-11,4106.8,2096.6,4520000
2025-11-12,4204.4,2097.69,4630000
2025-11-13,4186.9,2097.19,4610000
2025-11-14,4087.6,2096.62,4499000
2025-11-17,4068.3,2097.16,4479000
2025-11-18,4061.3,2097.36,4472000
2025-11-19,4077.7,2097.27,4490000
2025-11-20,4056.5,2097.81,4468000
2025-11-21,4076.7,2099.33,4493000
2025-11-24,4091.9,2097.68,4506000
2025-11-25,4139.2,2097.48,4558000
2025-11-26,4165.2,2097.84,4587000
2025-11-28,4218.3,2097.67,4646000
2025-12-01,4239.3,2096.82,4667000
2025-12-02,4186.6,2097.58,4610000
2025-12-03,4199.3,2097.65,4625000
2025-12-04,4211.8,2097.07,4637000
2025-12-05,4212.9,2097.41,4639000
2025-12-08,4187.2,2097.25,4610000
2025-12-09,4206.7,2097.5,4632000
2025-12-10,4196.4,2097.88,4622000
2025-12-11,4285.5,2096.89,4718000
2025-12-12,4300.1,2095.79,4731000
2025-12-15,4306.7,2096.54,4740000
2025-12-16,4304.5,2096.69,4738000
2025-12-17,4347.5,2098.03,4789000
2025-12-18,4339.5,2097.24,4778000
2025-12-19,4361.4,2097.96,4804000
2025-12-22,4444.6,2097.58,4895000
2025-12-23,4482.8,2097.81,4937000
2025-12-24,4480.6,2097.73,4935000
2025-12-26,4529.1,2097.86,4988000
2025-12-29,4325.1,2098.34,4765000
2025-12-30,4370.1,2097.85,4813000
2025-12-31,4325.6,2097.67,4764000
2026-01-02,4314.4,2097.77,4752000
2026-01-05,4436.9,2096.62,4884000
2026-01-06,4482.2,2096.94,4934000
2026-01-07,4449.3,2096.9,4898000
2026-01-08,4449.7,2098.81,4903000
2026-01-09,4490.3,2098.14,4946000
2026-01-12,4604.3,2097.15,5069000
2026-01-13,4589.2,2097.37,5053000
2026-01-14,4626.3,2097.54,5095000
2026-01-15,4616.3,2097.58,5084000
2026-01-16,4588.4,2098.95,5056000
2026-01-20,4759.6,2097.17,5240000
2026-01-21,4831.8,2098.22,5323000
2026-01-22,4908.8,2097.47,5405000
2026-01-23,4976.2,2096.12,5476000
2026-01-26,5079.7,2096.13,5590000
2026-01-27,5079.9,2096.37,5591000
2026-01-28,5301.6,2097.34,5838000
2026-01-29,5318.4,2099.1,5861000
2026-01-30,4713.9,2100.11,5197000
2026-02-02,4622.5,2098.98,5094000
2026-02-03,4903.7,2099.35,5405000
2026-02-04,4920.4,2098.49,5421000
2026-02-05,4861.4,2098.82,5357000
2026-02-06,4951.2,2098.06,5454000
2026-02-09,5050.9,2097.27,5561000
2026-02-10,5003.8,2097.23,5509000
2026-02-11,5071.6,2098.07,5586000
2026-02-12,4923.7,2098.09,5423000
2026-02-13,5022.0,2098.44,5533000
2026-02-17,4882.9,2097.64,5377000
2026-02-18,4986.5,2097.53,5491000
2026-02-19,4975.9,2098.49,5482000
2026-02-20,5059.3,2100.93,5580000
2026-02-23,5147.55,2097.89,5669000
2026-02-24,5167.25,2098.52,5693000
2026-02-25,5171.75,2098.72,5698000
2026-02-26,5174.75,2098.23,5700000
2026-02-27,5174.1,2098.06,5699000
2026-03-02,5390.45,2098.48,5939000
2026-03-03,5267.6,2099.84,5807000
2026-03-04,5183.7,2098.28,5710000
2026-03-05,5153.75,2098.24,5677000
2026-03-06,5087.75,2099.52,5608000
2026-03-09,5094.55,2098.68,5613000
2026-03-10,5173.95,2097.37,5697000
2026-03-11,5183.6,2098.45,5711000
2026-03-12,5181.65,2098.65,5709000
2026-03-13,5082.85,2101.71,5608000
2026-03-16,4986.9,2099.45,5497000
2026-03-17,5005.85,2098.2,5514000
2026-03-18,4983.25,2097.74,5488000
2026-03-19,4682.85,2100.38,5164000
2026-03-20,4650.7,2098.69,5124000
2026-03-23,4263.55,2098.85,4698000
2026-03-24,4419.4,2097.26,4866000
2026-03-25,4555.75,2097.7,5017000
2026-03-26,4442.8,2098.26,4894000
2026-03-27,4429.85,2100.3,4885000
2026-03-30,4528.05,2098.84,4989000
2026-03-31,4553.95,2098.58,5017000
2026-04-01,4719.7,2097.08,5196000
2026-04-02,4625.65,2098.8,5097000
2026-04-03,4625.65,2097.5,5094000
2026-04-06,4625.65,2098.33,5096000
2026-04-07,4682.5,2096.65,5154000
2026-04-08,4798.05,2097.89,5285000
2026-04-09,4729.05,2097.97,5209000
2026-04-10,4748.35,2097.36,5228000
